driver_id,base_zone,employment_type,years_experience,training_score,driver_rating,shift_preference,active_flag,experience_level
D053,West,Fulltime,5,83.3,3.8,Morning,1,Intermediate
D054,West,Fulltime,3,80.1,4.32,Morning,1,Intermediate
D055,Central,Fulltime,15,90.5,5.0,Flexible,1,Senior
D056,West,Fulltime,12,74.6,4.45,Evening,1,Senior
D057,West,Fulltime,6,75.0,4.25,Morning,1,Experienced
D058,Airport,Fulltime,9,82.7,4.27,Flexible,1,Experienced
D059,North,Fulltime,7,82.8,4.22,Night,1,Experienced
D060,South,Fulltime,4,76.0,4.49,Morning,1,Intermediate
D061,Riverside,Contract,8,85.9,4.38,Evening,1,Experienced
D062,South,Fulltime,10,62.4,4.48,Flexible,1,Experienced
D063,North,Parttime,12,85.7,4.03,Morning,1,Senior
D064,South,Parttime,14,88.9,4.18,Morning,1,Senior
D065,Riverside,Fulltime,14,59.6,4.02,Morning,1,Senior
D066,South,Parttime,1,83.3,4.13,Flexible,1,New
D067,West,Fulltime,11,77.0,4.84,Morning,1,Senior
D068,Central,Parttime,10,83.9,3.99,Flexible,1,Experienced
D069,North,Parttime,2,61.5,5.0,Evening,0,New
D070,South,Fulltime,9,67.0,5.0,Flexible,1,Experienced
D071,Central,Parttime,12,56.7,4.49,Evening,1,Senior
D072,South,Fulltime,10,75.8,4.47,Evening,1,Experienced
D073,East,Fulltime,11,76.9,4.58,Evening,1,Senior
D074,Central,Fulltime,12,79.5,4.61,Evening,1,Senior
D075,Airport,Fulltime,13,99.0,3.62,Evening,1,Senior
D076,East,Fulltime,15,61.6,3.88,Morning,1,Senior
D077,South,Fulltime,8,64.9,3.68,Morning,1,Experienced
D078,North,Fulltime,11,73.7,4.28,Morning,1,Senior
D079,South,Parttime,1,75.2,4.48,Night,1,New
D080,Central,Fulltime,11,75.2,4.35,Flexible,1,Senior
D081,Riverside,Parttime,1,82.0,4.78,Flexible,1,New
D082,West,Parttime,14,74.1,4.63,Evening,1,Senior
D083,North,Fulltime,12,80.8,4.16,Flexible,1,Senior
D084,Central,Parttime,2,47.2,3.99,Evening,1,New
D085,North,Parttime,9,84.5,4.11,Evening,0,Experienced
D086,North,Parttime,14,70.6,5.0,Flexible,1,Senior
D087,North,Contract,13,73.3,4.43,Night,1,Senior
D088,Riverside,Contract,4,84.3,4.17,Morning,1,Intermediate
D089,Central,Fulltime,2,71.1,4.57,Night,1,New
D090,North,Fulltime,8,58.0,3.78,Morning,1,Experienced
D091,Riverside,Fulltime,12,68.0,4.46,Night,1,Senior
D092,East,Fulltime,15,88.2,4.24,Evening,1,Senior
D093,South,Parttime,12,75.2,4.43,Flexible,1,Senior
D094,Central,Parttime,6,60.8,4.48,Night,0,Experienced
D095,West,Fulltime,12,99.0,3.15,Night,1,Senior
D096,Central,Fulltime,4,56.4,4.03,Morning,1,Intermediate
D097,West,Fulltime,2,79.1,4.48,Flexible,1,New
D098,South,Contract,3,70.9,4.29,Morning,1,Intermediate
D099,North,Contract,10,82.7,3.48,Night,1,Experienced
D100,Central,Fulltime,4,62.0,4.31,Flexible,1,Intermediate
D101,West,Fulltime,8,75.6,4.48,Morning,1,Experienced
D102,East,Parttime,10,67.6,4.62,Morning,1,Experienced
D103,Central,Fulltime,15,72.5,4.4,Morning,1,Senior
D104,West,Fulltime,15,87.7,3.45,Morning,1,Senior
D105,Riverside,Contract,2,82.0,3.71,Morning,1,New
D106,Central,Contract,12,71.9,3.66,Morning,1,Senior
D107,Riverside,Fulltime,14,57.0,4.82,Flexible,1,Senior
D108,South,Fulltime,10,70.6,4.33,Morning,1,Experienced
D109,Central,Contract,14,68.1,3.94,Morning,1,Senior
D110,Riverside,Contract,7,40.6,4.1,Morning,1,Experienced
D111,Airport,Fulltime,15,79.2,4.12,Night,1,Senior
D112,East,Fulltime,14,79.1,4.51,Morning,1,Senior
D113,Airport,Parttime,8,70.5,4.47,Evening,1,Experienced
D114,Central,Fulltime,2,57.4,4.07,Evening,1,New
D115,South,Fulltime,11,69.5,4.77,Morning,1,Senior
D116,Central,Fulltime,4,58.2,4.19,Morning,1,Intermediate
D117,North,Fulltime,1,71.1,3.93,Flexible,1,New
D118,North,Fulltime,1,80.6,4.88,Night,1,New
D119,South,Fulltime,5,56.0,3.55,Flexible,1,Intermediate
D120,North,Parttime,3,76.9,3.72,Morning,1,Intermediate
D121,Riverside,Contract,3,75.2,4.97,Morning,1,Intermediate
D122,South,Fulltime,2,63.5,4.29,Morning,1,New
D123,Riverside,Fulltime,3,93.5,4.12,Flexible,1,Intermediate
D124,North,Fulltime,4,70.6,3.78,Night,1,Intermediate
D125,North,Parttime,15,90.5,4.07,Morning,1,Senior
D126,East,Parttime,9,69.7,4.1,Evening,1,Experienced
D127,Central,Fulltime,10,61.5,4.19,Morning,1,Experienced
D128,Central,Contract,13,84.7,3.32,Morning,1,Senior
D129,North,Fulltime,10,64.9,4.18,Night,1,Experienced
D130,West,Fulltime,8,71.2,3.64,Evening,1,Experienced
D131,South,Fulltime,9,86.7,4.26,Night,0,Experienced
D132,South,Contract,8,77.6,4.2,Evening,1,Experienced
D133,South,Contract,12,88.2,3.99,Flexible,1,Senior
D134,South,Parttime,4,61.5,3.59,Flexible,1,Intermediate
D135,Riverside,Parttime,2,70.3,4.4,Flexible,1,New
D136,Airport,Fulltime,4,89.5,3.99,Evening,1,Intermediate
D137,North,Contract,10,65.6,4.4,Flexible,1,Experienced
D138,Central,Parttime,11,69.2,4.61,Evening,1,Senior
D139,South,Fulltime,10,71.4,4.99,Evening,1,Experienced
D140,North,Fulltime,7,80.1,3.92,Morning,1,Experienced
D141,North,Parttime,14,71.4,3.44,Flexible,1,Senior
D142,Airport,Fulltime,12,98.7,4.23,Night,1,Senior
D143,Central,Fulltime,6,68.5,4.14,Night,1,Experienced
D144,West,Fulltime,6,85.0,3.83,Morning,1,Experienced
D145,North,Fulltime,11,68.4,4.09,Morning,1,Senior
D146,Airport,Contract,1,75.2,4.36,Morning,1,New
D147,West,Fulltime,13,66.4,3.8,Night,1,Senior
D148,Central,Parttime,10,53.1,4.4,Flexible,1,Experienced
D149,Airport,Fulltime,7,81.5,4.55,Night,1,Experienced
D150,East,Fulltime,12,88.1,4.08,Night,1,Senior
D151,East,Fulltime,2,71.3,4.69,Flexible,1,New
D152,North,Parttime,5,75.2,4.06,Flexible,1,Intermediate
D153,East,Fulltime,8,82.3,3.83,Evening,1,Experienced
D154,Airport,Fulltime,4,67.0,4.35,Evening,1,Intermediate
D155,Central,Parttime,6,69.5,3.98,Morning,1,Experienced
D156,South,Fulltime,14,84.5,3.62,Evening,1,Senior
D157,South,Fulltime,13,74.1,4.42,Evening,1,Senior
D158,Central,Fulltime,5,81.4,4.45,Morning,1,Intermediate
D159,Airport,Fulltime,11,68.6,4.18,Morning,1,Senior
D160,East,Fulltime,12,72.8,4.48,Morning,1,Senior
D161,North,Fulltime,1,84.7,4.02,Evening,1,New
D162,Riverside,Contract,11,69.0,4.62,Night,1,Senior
D163,Riverside,Fulltime,11,78.2,4.5,Morning,0,Senior
D164,Central,Fulltime,5,76.1,4.07,Flexible,1,Intermediate
D165,North,Parttime,10,82.2,3.89,Night,1,Experienced
D166,West,Parttime,7,74.6,4.07,Night,1,Experienced
D167,South,Parttime,12,75.3,4.64,Night,1,Senior
D168,North,Fulltime,12,93.6,3.84,Morning,1,Senior
D169,East,Contract,5,77.6,3.81,Flexible,1,Intermediate
D170,West,Fulltime,14,75.2,4.48,Morning,1,Senior
