delivery_id,order_id,driver_id,vehicle_id,hub_id,dispatch_time,delivery_completed_at,delivery_status,route_distance_km,manual_route_override_count,proof_of_completion_missing,customer_rating_post_delivery,fuel_or_charge_cost,delivery_duration_hours,failed_delivery_flag,delayed_delivery_flag
DL00118,O00660,D143,V004,H01,2024-06-05 01:27:00,2026-04-28 05:09:42,Failed,11.45,3,0,2.16,8.94,16611.711666666666,1,0
DL00119,O01011,D076,V037,H03,2024-02-28 07:57:00,,Failed,32.37,3,0,1.71,25.09,,1,0
DL00120,O00007,D128,V047,H06,2024-05-05 22:10:00,2026-04-28 05:17:36,Delayed,9.07,1,1,3.93,9.76,17335.126666666667,0,1
DL00121,O00091,D078,V100,H05,2024-03-14 02:36:00,,Ontime,18.81,0,0,3.92,11.62,,0,0
DL00122,O00434,D122,V092,H01,2025-10-25 21:25:00,2026-04-28 15:00:00,Ontime,29.52,4,0,4.63,10.56,4433.583333333333,0,0
DL00123,O00284,D030,V025,H04,2024-04-02 13:26:00,2026-04-28 11:28:12,Ontime,13.45,2,0,4.75,12.86,18142.036666666667,0,0
DL00124,O00210,D113,V040,H05,2024-05-14 20:07:00,2026-04-28 02:59:06,Ontime,14.23,2,0,4.78,19.49,17118.868333333332,0,0
DL00125,O00472,D021,V109,H05,2024-02-22 10:05:00,,Ontime,14.25,3,0,3.68,12.59,,0,0
DL00126,O00547,D159,V001,H07,2024-04-09 14:36:00,2026-04-28 11:28:06,Delayed,17.68,0,0,2.6,10.92,17972.868333333332,0,1
DL00127,O01072,D026,V099,H02,2024-10-05 00:19:00,2026-04-28 08:10:06,Delayed,16.56,2,0,2.12,11.9,13687.851666666667,0,1
DL00128,O00868,D089,V099,H07,2024-05-18 16:31:00,,Ontime,9.43,0,0,4.47,10.47,,0,0
DL00129,O00425,D030,V078,H08,2024-11-27 08:41:00,2026-04-28 07:10:18,Ontime,21.27,3,0,5.0,11.59,12406.488333333333,0,0
DL00130,O00400,D113,V042,H03,2025-06-20 08:41:00,,Ontime,17.1,0,0,3.87,13.53,,0,0
DL00131,O00890,D037,V096,H07,2025-07-05 10:26:00,,Ontime,16.59,0,0,4.33,3.25,,0,0
DL00132,O00688,D058,V061,H03,2024-04-25 08:29:00,2026-04-28 02:10:06,Ontime,19.79,0,0,4.62,5.66,17585.685,0,0
DL00133,O00761,D083,V070,H03,2025-08-12 05:33:00,,Ontime,17.73,1,0,3.29,10.88,,0,0
DL00134,O00334,D135,V071,H03,2024-05-23 12:01:00,,Ontime,13.27,0,0,3.88,7.63,,0,0
DL00135,O00225,D069,V075,H03,2025-07-28 04:31:00,2026-04-28 14:21:36,Failed,10.34,2,0,3.6,9.3,6585.843333333333,1,0
DL00136,O00527,D032,V106,H06,2024-04-05 06:41:00,2026-04-28 08:14:12,Ontime,4.06,1,0,4.45,5.7,18073.553333333333,0,0
DL00137,O01216,D053,V109,H07,2025-08-28 20:12:00,,Delayed,13.46,2,0,2.72,11.11,,0,1
DL00138,O00705,D019,V071,H04,2025-09-09 22:58:00,2026-04-28 00:03:24,Ontime,11.23,2,0,4.75,15.22,5521.09,0,0
DL00139,O01215,D140,V084,H05,2025-08-05 03:23:00,,Ontime,12.23,0,0,3.57,13.59,,0,0
DL00140,O00656,D079,V050,H06,2025-01-08 00:27:00,,Delayed,15.69,0,1,2.23,11.96,,0,1
DL00141,O00021,D166,V094,H04,2024-10-16 12:41:00,,Ontime,10.45,1,0,4.77,7.89,,0,0
DL00142,O00612,D158,V016,H08,2025-05-19 20:32:00,,Ontime,4.04,2,0,3.27,15.78,,0,0
DL00143,O00757,D026,V051,H04,2025-02-22 08:56:00,,Delayed,22.37,0,0,3.64,19.33,,0,1
DL00144,O00170,D016,V016,H06,2024-06-24 09:02:00,,Ontime,25.98,4,0,4.84,27.38,,0,0
DL00145,O00668,D155,V081,H06,2025-07-11 00:42:00,,Ontime,29.37,2,0,3.95,18.72,,0,0
DL00146,O00058,D052,V094,H03,2025-12-16 06:56:00,,Ontime,22.04,0,0,4.37,6.16,,0,0
DL00147,O01116,D123,V017,H06,2024-11-13 14:46:00,,Ontime,1.21,1,0,4.08,14.96,,0,0
DL00148,O00817,D087,V120,H05,2025-12-31 09:02:00,2026-04-28 10:07:18,Ontime,16.75,1,0,4.04,15.84,2833.088333333333,0,0
DL00149,O00789,D024,V099,H08,2024-12-11 13:03:00,,Ontime,5.74,2,0,3.83,3.72,,0,0
DL00150,O01164,D083,V042,H07,2025-06-09 18:46:00,2026-04-28 04:10:54,Delayed,10.43,0,0,2.83,10.61,7737.415,0,1
DL00151,O00376,D131,V048,H03,2025-01-21 09:34:00,2026-04-28 14:52:24,Ontime,12.77,1,0,4.77,10.12,11093.306666666667,0,0
DL00152,O00146,D121,V047,H01,2025-10-10 01:22:00,2026-04-28 11:11:18,Ontime,3.02,0,0,4.71,8.34,4809.821666666667,0,0
DL00153,O00893,D115,V007,H01,2024-08-05 08:55:00,2026-04-28 10:16:06,Failed,12.85,1,0,3.96,15.21,15145.351666666667,1,0
DL00154,O00071,D018,V110,H08,2024-09-01 00:47:00,2026-04-28 07:26:18,Failed,7.04,1,0,4.2,5.23,14502.655,1,0
DL00155,O00061,D048,V052,H02,2024-07-12 03:31:00,,Ontime,24.74,1,0,4.46,18.46,,0,0
DL00156,O01086,D100,V085,H08,2024-03-05 21:40:00,2026-04-28 03:18:42,Delayed,31.74,2,0,2.18,17.62,18797.645,0,1
DL00157,O01089,D144,V040,H06,2025-05-18 05:27:00,2026-04-28 03:36:36,Ontime,12.43,2,0,5.0,13.52,8278.16,0,0
DL00158,O00643,D031,V072,H08,2025-04-10 19:05:00,,Delayed,29.34,3,0,3.8,15.45,,0,1
DL00159,O00213,D120,V020,H05,2024-12-05 20:07:00,2026-04-28 13:18:42,Ontime,11.73,0,0,5.0,21.25,12209.195,0,0
DL00160,O00874,D108,V085,H04,2024-06-15 16:06:00,2026-04-28 00:31:48,Ontime,16.67,1,0,5.0,9.13,16352.43,0,0
DL00161,O00624,D055,V098,H01,2025-04-13 04:37:00,2026-04-28 10:40:18,Ontime,16.98,0,0,4.28,11.8,9126.055,0,0
DL00162,O00854,D122,V071,H02,2024-09-01 04:30:00,2026-04-28 10:42:00,Ontime,25.94,0,0,4.84,11.4,14502.2,0,0
DL00163,O01007,D121,V056,H07,2024-09-24 08:50:00,,Delayed,9.31,0,0,2.51,8.76,,0,1
DL00164,O00066,D045,V120,H03,2024-06-21 11:36:00,,Ontime,17.31,0,0,3.9,17.53,,0,0
DL00165,O00852,D006,V022,H03,2025-07-13 18:06:00,2026-04-28 22:13:42,Delayed,8.64,0,1,4.55,2.5,6940.128333333333,0,1
DL00166,O00904,D091,V017,H04,2024-05-25 20:26:00,,Failed,24.07,0,0,2.08,13.51,,1,0
DL00167,O00932,D116,V069,H08,2024-10-01 07:37:00,2026-04-28 14:50:06,Failed,19.44,0,0,2.56,13.3,13783.218333333334,1,0
DL00168,O00126,D100,V066,H01,2024-05-26 09:29:00,,Delayed,30.51,2,0,4.3,18.34,,0,1
DL00169,O00996,D037,V115,H07,2025-04-26 07:29:00,,Ontime,10.5,2,0,4.08,10.38,,0,0
DL00170,O00363,D020,V093,H04,2025-06-04 03:57:00,,Ontime,10.59,0,0,4.07,10.74,,0,0
DL00171,O01055,D096,V085,H07,2025-08-13 19:47:00,,Ontime,23.42,1,0,4.35,13.6,,0,0
DL00172,O00127,D132,V106,H06,2025-11-08 04:29:00,,Delayed,13.58,2,1,4.36,11.2,,0,1
DL00173,O00459,D131,V026,H08,2025-11-28 08:52:00,2026-04-28 17:47:18,Delayed,15.37,0,0,3.88,6.1,3632.9216666666666,0,1
DL00174,O00162,D020,V066,H07,2025-12-14 04:21:00,,Ontime,9.9,2,0,4.18,9.86,,0,0
DL00175,O00583,D036,V118,H03,2025-04-17 21:40:00,,Ontime,15.62,1,0,3.93,9.26,,0,0
DL00176,O01200,D061,V116,H05,2024-02-23 08:31:00,2026-04-28 20:44:18,Ontime,16.02,0,0,4.36,16.67,19092.221666666668,0,0
DL00177,O00164,D123,V045,H01,2024-03-23 14:11:00,,Ontime,8.31,0,0,4.85,9.58,,0,0
DL00178,O01166,D024,V052,H05,2025-09-22 12:46:00,2026-04-28 06:17:36,Failed,13.01,2,1,3.36,6.79,5225.526666666667,1,0
DL00179,O00493,D016,V094,H08,2024-05-20 04:07:00,,Delayed,9.15,1,0,2.32,12.14,,0,1
DL00180,O00137,D135,V054,H08,2025-03-14 19:37:00,2026-04-28 15:52:54,Ontime,19.65,0,0,4.25,14.94,9836.265,0,0
DL00181,O00450,D073,V014,H02,2024-08-25 23:47:00,,Ontime,12.74,1,0,5.0,14.37,,0,0
DL00182,O00096,D071,V102,H04,2024-07-13 18:06:00,,Ontime,7.62,0,0,4.64,14.41,,0,0
DL00183,O00808,D049,V065,H05,2024-09-06 07:26:00,2026-04-28 08:53:42,Ontime,15.14,0,0,4.23,13.23,14377.461666666666,0,0
DL00184,O01005,D023,V096,H07,2025-05-01 19:42:00,,Failed,13.78,0,0,2.96,13.86,,1,0
DL00185,O01217,D008,V065,H01,2024-01-26 00:13:00,,Ontime,15.39,3,0,4.76,13.61,,0,0
DL00186,O00798,D006,V081,H06,2024-01-14 04:23:00,2026-04-28 07:14:48,Ontime,14.26,1,0,4.91,4.79,20042.863333333335,0,0
DL00187,O00439,D111,V069,H05,2024-03-05 22:08:00,2026-04-28 17:27:54,Failed,17.61,1,0,1.53,16.92,18811.331666666665,1,0
DL00188,O00739,D008,V075,H08,2025-04-13 23:14:00,2026-04-28 05:27:24,Ontime,5.37,0,0,5.0,5.73,9102.223333333333,0,0
DL00189,O01227,D011,V118,H06,2024-11-05 11:52:00,2026-04-28 23:23:06,Failed,14.51,1,0,2.43,12.83,12947.518333333333,1,0
DL00190,O00875,D039,V003,H07,2025-10-31 23:21:00,,Ontime,2.25,0,0,4.79,7.74,,0,0
DL00191,O00755,D161,V006,H08,2025-08-21 05:02:00,2026-04-28 04:57:12,Ontime,13.55,0,0,3.48,21.6,5999.92,0,0
DL00192,O00118,D095,V112,H04,2025-08-18 22:16:00,2026-04-28 23:10:36,Ontime,14.13,0,0,4.64,16.49,6072.91,0,0
DL00193,O00032,D017,V013,H08,2025-09-16 00:28:00,,Ontime,14.01,4,0,3.54,9.08,,0,0
DL00194,O00422,D053,V110,H01,2025-08-07 09:57:00,,Delayed,8.77,2,0,2.58,9.97,,0,1
DL00195,O00462,D162,V028,H06,2025-03-03 20:56:00,,Delayed,13.0,1,0,1.04,10.71,,0,1
DL00196,O00469,D111,V009,H08,2024-09-19 00:27:00,,Ontime,13.83,1,0,3.85,12.41,,0,0
DL00197,O00478,D163,V053,H02,2025-04-21 00:07:00,2026-04-28 03:50:54,Ontime,11.17,0,0,5.0,2.84,8931.731666666667,0,0
DL00198,O00465,D156,V111,H04,2024-12-08 07:33:00,,Delayed,8.01,0,0,3.38,10.98,,0,1
DL00199,O00821,D086,V088,H05,2025-01-25 03:15:00,,Ontime,24.31,1,0,4.36,18.49,,0,0
DL00200,O00406,D160,V106,H06,2025-01-05 13:23:00,2026-04-28 10:14:48,Ontime,31.46,2,0,4.38,16.38,11468.863333333333,0,0
DL00201,O00008,D036,V041,H03,2024-04-03 20:22:00,,Ontime,14.08,0,0,5.0,12.87,,0,0
DL00202,O01057,D028,V054,H06,2025-03-23 12:38:00,2026-04-28 02:58:36,Delayed,19.31,2,0,3.67,17.41,9614.343333333334,0,1
DL00203,O00901,D107,V086,H08,2025-12-08 09:18:00,,Delayed,9.36,2,0,4.52,7.69,,0,1
DL00204,O00025,D108,V062,H08,2025-01-10 22:15:00,2026-04-28 19:27:42,Ontime,11.32,1,0,4.64,15.67,11349.211666666666,0,0
DL00205,O00375,D039,V024,H03,2024-09-17 23:26:00,2026-04-28 13:34:24,Ontime,7.16,3,0,4.17,12.58,14102.14,0,0
DL00206,O00634,D045,V107,H02,2024-07-07 14:19:00,,Ontime,17.47,1,0,4.49,15.56,,0,0
DL00207,O01035,D121,V114,H04,2024-03-17 00:24:00,,Ontime,18.52,1,0,4.4,11.28,,0,0
DL00208,O00964,D087,V018,H01,2024-04-13 03:27:00,,Failed,21.73,0,1,3.09,13.36,,1,0
DL00209,O01154,D057,V107,H06,2024-09-05 16:29:00,,Ontime,11.22,1,0,4.31,13.88,,0,0
DL00210,O01191,D142,V016,H02,2024-02-19 19:24:00,,Delayed,16.24,3,0,3.43,13.43,,0,1
